pengujian_ke,halaman,url,waktu_respons_detik,status_akses,status_performa
1,Dashboard Insight,/asosiasi/dashboard,1.523,Berhasil,Memenuhi
1,Analisis Pola,/asosiasi/analisis,1.113,Berhasil,Memenuhi
1,Riwayat Analisis,/asosiasi/riwayat,1.198,Berhasil,Memenuhi
2,Dashboard Insight,/asosiasi/dashboard,1.042,Berhasil,Memenuhi
2,Analisis Pola,/asosiasi/analisis,1.014,Berhasil,Memenuhi
2,Riwayat Analisis,/asosiasi/riwayat,1.267,Berhasil,Memenuhi
3,Dashboard Insight,/asosiasi/dashboard,1.08,Berhasil,Memenuhi
3,Analisis Pola,/asosiasi/analisis,1.24,Berhasil,Memenuhi
3,Riwayat Analisis,/asosiasi/riwayat,1.157,Berhasil,Memenuhi
4,Dashboard Insight,/asosiasi/dashboard,1.004,Berhasil,Memenuhi
4,Analisis Pola,/asosiasi/analisis,1.013,Berhasil,Memenuhi
4,Riwayat Analisis,/asosiasi/riwayat,1.265,Berhasil,Memenuhi
5,Dashboard Insight,/asosiasi/dashboard,1.077,Berhasil,Memenuhi
5,Analisis Pola,/asosiasi/analisis,1.247,Berhasil,Memenuhi
5,Riwayat Analisis,/asosiasi/riwayat,1.158,Berhasil,Memenuhi
6,Dashboard Insight,/asosiasi/dashboard,1.068,Berhasil,Memenuhi
6,Analisis Pola,/asosiasi/analisis,0.951,Berhasil,Memenuhi
6,Riwayat Analisis,/asosiasi/riwayat,1.145,Berhasil,Memenuhi
7,Dashboard Insight,/asosiasi/dashboard,1.181,Berhasil,Memenuhi
7,Analisis Pola,/asosiasi/analisis,1.141,Berhasil,Memenuhi
7,Riwayat Analisis,/asosiasi/riwayat,1.26,Berhasil,Memenuhi
8,Dashboard Insight,/asosiasi/dashboard,1.317,Berhasil,Memenuhi
8,Analisis Pola,/asosiasi/analisis,0.921,Berhasil,Memenuhi
8,Riwayat Analisis,/asosiasi/riwayat,1.621,Berhasil,Memenuhi
9,Dashboard Insight,/asosiasi/dashboard,0.979,Berhasil,Memenuhi
9,Analisis Pola,/asosiasi/analisis,1.139,Berhasil,Memenuhi
9,Riwayat Analisis,/asosiasi/riwayat,1.542,Berhasil,Memenuhi
10,Dashboard Insight,/asosiasi/dashboard,1.16,Berhasil,Memenuhi
10,Analisis Pola,/asosiasi/analisis,1.149,Berhasil,Memenuhi
10,Riwayat Analisis,/asosiasi/riwayat,1.192,Berhasil,Memenuhi
